DATE,CUSR0000SA0L2
1947-01-01,23.4333333333333333
1947-04-01,23.7666666666666667
1947-07-01,24.2666666666666667
1947-10-01,24.9666666666666667
1948-01-01,25.5666666666666667
1948-04-01,26.0000000000000000
1948-07-01,26.4000000000000000
1948-10-01,26.1333333333333333
1949-01-01,25.7333333333333333
1949-04-01,25.6666666666666667
1949-07-01,25.4333333333333333
1949-10-01,25.3000000000000000
1950-01-01,25.1666666666666667
1950-04-01,25.3333333333333333
1950-07-01,25.8333333333333333
1950-10-01,26.4666666666666667
1951-01-01,27.6333333333333333
1951-04-01,27.9000000000000000
1951-07-01,27.8000000000000000
1951-10-01,28.2666666666666667
1952-01-01,28.3333333333333333
1952-04-01,28.3666666666666667
1952-07-01,28.6000000000000000
1952-10-01,28.5333333333333333
1953-01-01,28.4666666666666667
1953-04-01,28.5333333333333333
1953-07-01,28.6000000000000000
1953-10-01,28.6333333333333333
1954-01-01,28.6666666666666667
1954-04-01,28.6000000000000000
1954-07-01,28.5000000000000000
1954-10-01,28.3000000000000000
1955-01-01,28.3666666666666667
1955-04-01,28.3000000000000000
1955-07-01,28.3000000000000000
1955-10-01,28.4000000000000000
1956-01-01,28.4000000000000000
1956-04-01,28.6000000000000000
1956-07-01,28.9000000000000000
1956-10-01,29.1333333333333333
1957-01-01,29.4000000000000000
1957-04-01,29.6333333333333333
1957-07-01,29.8666666666666667
1957-10-01,30.0000000000000000
1958-01-01,30.4333333333333333
1958-04-01,30.6000000000000000
1958-07-01,30.6000000000000000
1958-10-01,30.6666666666666667
1959-01-01,30.7000000000000000
1959-04-01,30.7333333333333333
1959-07-01,30.9333333333333333
1959-10-01,31.0333333333333333
1960-01-01,31.1000000000000000
1960-04-01,31.2666666666666667
1960-07-01,31.3000000000000000
1960-10-01,31.5000000000000000
1961-01-01,31.6000000000000000
1961-04-01,31.6000000000000000
1961-07-01,31.7000000000000000
1961-10-01,31.7000000000000000
1962-01-01,31.9000000000000000
1962-04-01,32.0000000000000000
1962-07-01,32.0333333333333333
1962-10-01,32.2000000000000000
1963-01-01,32.2666666666666667
1963-04-01,32.3000000000000000
1963-07-01,32.5333333333333333
1963-10-01,32.6000000000000000
1964-01-01,32.7000000000000000
1964-04-01,32.7333333333333333
1964-07-01,32.8333333333333333
1964-10-01,32.9333333333333333
1965-01-01,33.0666666666666667
1965-04-01,33.2666666666666667
1965-07-01,33.3666666666666667
1965-10-01,33.5666666666666667
1966-01-01,33.8666666666666667
1966-04-01,34.2000000000000000
1966-07-01,34.4666666666666667
1966-10-01,34.7000000000000000
1967-01-01,34.8333333333333333
1967-04-01,34.9666666666666667
1967-07-01,35.3666666666666667
1967-10-01,35.7000000000000000
1968-01-01,36.1000000000000000
1968-04-01,36.4333333333333333
1968-07-01,36.8000000000000000
1968-10-01,37.2333333333333333
1969-01-01,37.6000000000000000
1969-04-01,38.1333333333333333
1969-07-01,38.6333333333333333
1969-10-01,39.1333333333333333
1970-01-01,39.6666666666666667
1970-04-01,40.1000000000000000
1970-07-01,40.4666666666666667
1970-10-01,41.0000000000000000
1971-01-01,41.4333333333333333
1971-04-01,41.9000000000000000
1971-07-01,42.2666666666666667
1971-10-01,42.4666666666666667
1972-01-01,42.8333333333333333
1972-04-01,43.0666666666666667
1972-07-01,43.4000000000000000
1972-10-01,43.8666666666666667
1973-01-01,44.6333333333333333
1973-04-01,45.7000000000000000
1973-07-01,46.6333333333333333
1973-10-01,47.7000000000000000
1974-01-01,49.3000000000000000
1974-04-01,50.6333333333333333
1974-07-01,52.1000000000000000
1974-10-01,53.7000000000000000
1975-01-01,54.7000000000000000
1975-04-01,55.3333333333333333
1975-07-01,56.5333333333333333
1975-10-01,57.6000000000000000
1976-01-01,58.2000000000000000
1976-04-01,58.7333333333333333
1976-07-01,59.6000000000000000
1976-10-01,60.5666666666666667
1977-01-01,61.7000000000000000
1977-04-01,62.8000000000000000
1977-07-01,63.5000000000000000
1977-10-01,64.3333333333333333
1978-01-01,65.3000000000000000
1978-04-01,66.7333333333333333
1978-07-01,68.0000000000000000
1978-10-01,69.3666666666666667
1979-01-01,71.1000000000000000
1979-04-01,73.2666666666666667
1979-07-01,75.3000000000000000
1979-10-01,77.1000000000000000
1980-01-01,79.9000000000000000
1980-04-01,82.0333333333333333
1980-07-01,83.8666666666666667
1980-10-01,85.8666666666666667
1981-01-01,88.4333333333333333
1981-04-01,90.1333333333333333
1981-07-01,91.9000000000000000
1981-10-01,93.4666666666666667
1982-01-01,94.5333333333333333
1982-04-01,95.4333333333333333
1982-07-01,96.9666666666666667
1982-10-01,97.8666666666666667
1983-01-01,98.2666666666666667
1983-04-01,99.3666666666666667
1983-07-01,100.3333333333333333
1983-10-01,101.2666666666666667
1984-01-01,102.6666666666666667
1984-04-01,103.5000000000000000
1984-07-01,104.3000000000000000
1984-10-01,105.1000000000000000
1985-01-01,105.9333333333333333
1985-04-01,106.7666666666666667
1985-07-01,107.1666666666666667
1985-10-01,108.1000000000000000
1986-01-01,108.4000000000000000
1986-04-01,107.3000000000000000
1986-07-01,107.8666666666666667
1986-10-01,108.4000000000000000
1987-01-01,109.9666666666666667
1987-04-01,111.1666666666666667
1987-07-01,112.3333333333333333
1987-10-01,113.2000000000000000
1988-01-01,113.8000000000000000
1988-04-01,115.1666666666666667
1988-07-01,116.6666666666666667
1988-10-01,117.9333333333333333
1989-01-01,119.3666666666666667
1989-04-01,121.5000000000000000
1989-07-01,122.2000000000000000
1989-10-01,123.3000000000000000
1990-01-01,125.6333333333333333
1990-04-01,126.7333333333333333
1990-07-01,128.8000000000000000
1990-10-01,131.4000000000000000
1991-01-01,132.1666666666666667
1991-04-01,132.9000000000000000
1991-07-01,133.9000000000000000
1991-10-01,134.9000000000000000
1992-01-01,135.6333333333333333
1992-04-01,136.7333333333333333
1992-07-01,137.8666666666666667
1992-10-01,139.0666666666666667
1993-01-01,140.0333333333333333
1993-04-01,141.0000000000000000
1993-07-01,141.6000000000000000
1993-10-01,142.8000000000000000
1994-01-01,143.3333333333333333
1994-04-01,144.1000000000000000
1994-07-01,145.5000000000000000
1994-10-01,146.2333333333333333
1995-01-01,147.3333333333333333
1995-04-01,148.4333333333333333
1995-07-01,149.0333333333333333
1995-10-01,149.7000000000000000
1996-01-01,151.0333333333333333
1996-04-01,152.4333333333333333
1996-07-01,153.1333333333333333
1996-10-01,154.6000000000000000
1997-01-01,155.4333333333333333
1997-04-01,155.5333333333333333
1997-07-01,156.0666666666666667
1997-10-01,156.7333333333333333
1998-01-01,156.6333333333333333
1998-04-01,156.9000000000000000
1998-07-01,157.4666666666666667
1998-10-01,157.8666666666666667
1999-01-01,158.4000000000000000
1999-04-01,159.6000000000000000
1999-07-01,160.8333333333333333
1999-10-01,162.1333333333333333
2000-01-01,163.7000000000000000
2000-04-01,165.0000000000000000
2000-07-01,166.5333333333333333
2000-10-01,167.6333333333333333
2001-01-01,169.2333333333333333
2001-04-01,170.2666666666666667
2001-07-01,170.1666666666666667
2001-10-01,169.2333333333333333
2002-01-01,169.1666666666666667
2002-04-01,170.5333333333333333
2002-07-01,171.3333333333333333
2002-10-01,172.2000000000000000
2003-01-01,174.3333333333333333
2003-04-01,173.6333333333333333
2003-07-01,175.0000000000000000
2003-10-01,175.4666666666666667
2004-01-01,177.2333333333333333
2004-04-01,178.4000000000000000
2004-07-01,179.5333333333333333
2004-10-01,181.9666666666666667
2005-01-01,182.6333333333333333
2005-04-01,184.0333333333333333
2005-07-01,187.8666666666666667
2005-10-01,189.7333333333333333
2006-01-01,190.4000000000000000
2006-04-01,191.9333333333333333
2006-07-01,193.6333333333333333
2006-10-01,191.5000000000000000
2007-01-01,193.4256666666666667
2007-04-01,195.9946666666666667
2007-07-01,197.1486666666666667
2007-10-01,200.0090000000000000
2008-01-01,202.5230000000000000
2008-04-01,206.0606666666666667
2008-07-01,210.2343333333333333
2008-10-01,202.7383333333333333
2009-01-01,200.3413333333333333
2009-04-01,201.7613333333333333
2009-07-01,204.4370000000000000
2009-10-01,206.8170000000000000
2010-01-01,207.8470000000000000
2010-04-01,207.6810000000000000
2010-07-01,208.4400000000000000
2010-10-01,210.7213333333333333
2011-01-01,213.6620000000000000
2011-04-01,216.8803333333333333
2011-07-01,218.3370000000000000
2011-10-01,219.2220000000000000
2012-01-01,220.4936666666666667
2012-04-01,220.5953333333333333
2012-07-01,221.5596666666666667
2012-10-01,223.0980000000000000
2013-01-01,223.8323333333333333
2013-04-01,222.8563333333333333
2013-07-01,224.0060000000000000
2013-10-01,224.5633333333333333
2014-01-01,225.7813333333333333
2014-04-01,226.6963333333333333
2014-07-01,226.8176666666666667
2014-10-01,225.3126666666666667
2015-01-01,222.2960000000000000
2015-04-01,223.6293333333333333
2015-07-01,223.9570000000000000
2015-10-01,223.2380000000000000
2016-01-01,222.2753333333333333
2016-04-01,223.5513333333333333
2016-07-01,224.0806666666666667
2016-10-01,225.3210000000000000
2017-01-01,226.9383333333333333
2017-04-01,226.1880000000000000
2017-07-01,227.0770000000000000
2017-10-01,228.8706666666666667
2018-01-01,230.9113333333333333
2018-04-01,231.2873333333333333
2018-07-01,232.1300000000000000
